genotype,ratio,parameter,fold,value,valid,peak,time_to_peak,relax_half_time,fwhm,srx_rest,srx_peak
Control,20,k_force,0.215443469003188,3.23165203504783e-05,1,2607.93729986072,0.216,0.0880000000000001,0.225,0.950879401293372,0.903914652016581
Control,20,k_force,0.464158883361278,6.96238325041917e-05,1,2733.05366649332,0.2205,0.0890000000000001,0.228,0.949904071912347,0.896919429712235
Control,20,k_force,1,0.00015,1,2997.87397513758,0.231,0.0950000000000001,0.238,0.94765037011545,0.88093354653456
Control,20,k_force,2.15443469003188,0.000323165203504783,1,3538.39039629163,0.2525,0.115,0.268,0.941927180053439,0.844187013340728
Control,20,k_force,4.64158883361278,0.000696238325041917,1,4574.01951878816,0.31,0.243999999999997,0.429999999999997,0.92286054699955,0.75969252209361
Control,20,k_force,10,0.0015,0,8578.34797306062,0.759999999999974,NaN,NaN,0.797340852617406,0.476178406303086
Control,20,k_on,0.1,4186770,1,66.391870043987,0.0765,0.0680000000000001,0.11,0.958807193159929,0.957655560751378
Control,20,k_on,0.215443469003188,9020122.52718479,1,230.484672849865,0.0849999999999999,0.0620000000000001,0.106,0.958275432042615,0.953679314686607
Control,20,k_on,0.464158883361278,19433264.880905,1,1733.78186953803,0.1365,0.055,0.125,0.956712119087489,0.912662491618212
Control,20,k_on,1,41867700,1,2997.87397513758,0.231,0.0950000000000001,0.238,0.94765037011545,0.88093354653456
Control,20,k_on,2.15443469003188,90201225.2718479,0,1700.81632759901,0.731499999999977,NaN,NaN,0.835609943978977,0.821916148528572
Control,20,k_on,4.64158883361278,194332648.80905,0,1834.69890339445,0.746499999999975,NaN,NaN,0.827950967284355,0.813319664261745
Control,20,k_on,10,418677000,0,1863.70559068879,0.748499999999975,NaN,NaN,0.826332379009157,0.811480162898511
Control,20,k_off,0.1,1.22886,0,1926.80622070782,0.748499999999975,NaN,NaN,0.827000755952757,0.811569856701183
Control,20,k_off,0.215443469003188,2.64749861319258,0,1896.91894895643,0.746499999999975,NaN,NaN,0.828602956933096,0.813404507051408
Control,20,k_off,0.464158883361278,5.7038628540734,0,1770.90922683898,0.731499999999977,NaN,NaN,0.836327348587814,0.821994942847674
Control,20,k_off,1,12.2886,1,2997.87397513758,0.231,0.0950000000000001,0.238,0.94765037011545,0.88093354653456
Control,20,k_off,2.15443469003188,26.4749861319258,1,1758.83150280031,0.1255,0.054,0.12,0.956712188866306,0.910464136567246
Control,20,k_off,4.64158883361278,57.038628540734,1,236.645397493106,0.078,0.0620000000000001,0.104,0.958275453905707,0.953521166019112
Control,20,k_off,10,122.886,1,67.1838148673541,0.071,0.0680000000000001,0.108,0.958807201717758,0.957631390324534
Control,20,k_coop,0.1,1.99526,1,1594.07821203856,0.2355,0.196,0.337,0.915623693190364,0.882906326463258
Control,20,k_coop,0.215443469003188,4.29865735963302,1,2025.7979989715,0.238,0.168,0.312,0.925305187500423,0.882502409510363
Control,20,k_coop,0.464158883361278,9.26117653615423,1,2556.35722990626,0.2365,0.131,0.276,0.937635280539338,0.88227163004672
Control,20,k_coop,1,19.9526,1,2997.87397513758,0.231,0.0950000000000001,0.238,0.94765037011545,0.88093354653456
Control,20,k_coop,2.15443469003188,42.9865735963302,1,3263.98160256888,0.224,0.0700000000000001,0.209,0.953516316323028,0.878273925054188
Control,20,k_coop,4.64158883361278,92.6117653615423,1,3398.6432013523,0.218,0.0570000000000001,0.192,0.956496564676301,0.875141349093463
Control,20,k_coop,10,199.526,1,3458.19728869393,0.213,0.051,0.183,0.957931719436536,0.872389489304693
H251N,10,k_1,0.1,1.69527,0,7114.46393414857,0.3495,NaN,NaN,0.854166670199809,0.738236963161057
H251N,10,k_1,0.215443469003188,3.65234849697035,0,7821.87681034403,0.3495,NaN,NaN,0.847737838129408,0.722294832405057
H251N,10,k_1,0.464158883361278,7.86874630195874,0,8165.14048427176,0.346,NaN,NaN,0.844649403774315,0.716648955366101
H251N,10,k_1,1,16.9527,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881
H251N,10,k_1,2.15443469003188,36.5234849697035,1,8388.19827949101,0.344,0.333999999999985,0.553999999999985,0.842532000361046,0.713224967069017
H251N,10,k_1,4.64158883361278,78.6874630195874,1,8419.29496035786,0.344,0.326999999999986,0.545999999999986,0.842221363831428,0.712569856418907
H251N,10,k_1,10,169.527,1,8433.50915151552,0.3435,0.323999999999986,0.543999999999987,0.842079084861725,0.712383364242742
H251N,10,k_3,0.1,1.56713,1,1749.40046439688,0.184,0.0860000000000001,0.22,0.910987263413614,0.87840485059416
