genotype,ratio,parameter,fold,value,valid,peak,time_to_peak,relax_half_time,fwhm,srx_rest,srx_peak,scale_mode,target_peak,target_time_to_peak,target_relax_half_time,peak_error,tpeak_error,relax_error,total_score
H251N,10,k_4_0,10,100.338,1,6481.85839843744,0.2195,0.0700000000000001,0.221,0.895583249880087,0.772131290801841,p95,3020.23635481647,0.1415,0.134,1.14614276399283,0.551236749116607,-0.477611940298507,1.84561835454547
H251N,10,k_4_0,10,100.338,1,6481.85839843744,0.2195,0.0700000000000001,0.221,0.895583249880087,0.772131290801841,least_squares,3298.34774364503,0.1415,0.134,0.965183450085311,0.551236749116607,-0.477611940298507,1.46355421141093
H251N,10,k_7_1,0.1,0.0617297,1,8654.53498926077,0.34,0.301999999999989,0.516999999999989,0.841730894018803,0.706921085879452,peak,2978.44136117775,0.1415,0.134,1.9057261633778,1.40282685512367,1.2537313432835,7.17155767637029
H251N,10,k_7_1,0.1,0.0617297,1,8654.53498926077,0.34,0.301999999999989,0.516999999999989,0.841730894018803,0.706921085879452,p95,3020.23635481647,0.1415,0.134,1.8655157982782,1.40282685512367,1.2537313432835,7.01991466021319
H251N,10,k_7_1,0.1,0.0617297,1,8654.53498926077,0.34,0.301999999999989,0.516999999999989,0.841730894018803,0.706921085879452,least_squares,3298.34774364503,0.1415,0.134,1.62390010451008,1.40282685512367,1.2537313432835,6.17681701601546
H251N,10,k_7_1,0.215443469003188,0.132992607085261,1,8612.54608485853,0.3405,0.306999999999989,0.521999999999989,0.841954228767648,0.707726766677267,peak,2978.44136117775,0.1415,0.134,1.89162855348373,1.40636042402827,1.29104477611932,7.22290484057289
H251N,10,k_7_1,0.215443469003188,0.132992607085261,1,8612.54608485853,0.3405,0.306999999999989,0.521999999999989,0.841954228767648,0.707726766677267,p95,3020.23635481647,0.1415,0.134,1.85161327560468,1.40636042402827,1.29104477611932,7.07311797861343
H251N,10,k_7_1,0.215443469003188,0.132992607085261,1,8612.54608485853,0.3405,0.306999999999989,0.521999999999989,0.841954228767648,0.707726766677267,least_squares,3298.34774364503,0.1415,0.134,1.61116982023877,1.40636042402827,1.29104477611932,6.24051444586616
H251N,10,k_7_1,0.464158883361278,0.286523886222267,1,8520.82827420689,0.3415,0.317999999999987,0.533999999999987,0.842399897668114,0.709715007604665,peak,2978.44136117775,0.1415,0.134,1.86083465844617,1.41342756183746,1.37313432835811,7.34598098235173
H251N,10,k_7_1,0.464158883361278,0.286523886222267,1,8520.82827420689,0.3415,0.317999999999987,0.533999999999987,0.842399897668114,0.709715007604665,p95,3020.23635481647,0.1415,0.134,1.82124551630486,1.41342756183746,1.37313432835811,7.20021058693781
H251N,10,k_7_1,0.464158883361278,0.286523886222267,1,8520.82827420689,0.3415,0.317999999999987,0.533999999999987,0.842399897668114,0.709715007604665,least_squares,3298.34774364503,0.1415,0.134,1.58336262167144,1.41342756183746,1.37313432835811,6.39031254798351
H251N,10,k_7_1,1,0.617297,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881,peak,2978.44136117775,0.1415,0.134,1.79317169851616,1.43816254416961,1.6194029850745,7.90624227187994
H251N,10,k_7_1,1,0.617297,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881,p95,3020.23635481647,0.1415,0.134,1.75451889798776,1.43816254416961,1.6194029850745,7.7691140949168
H251N,10,k_7_1,1,0.617297,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881,least_squares,3298.34774364503,0.1415,0.134,1.52226228473348,1.43816254416961,1.6194029850745,7.00805999504261
H251N,10,k_7_1,2.15443469003188,1.32992607085261,0,7887.30610543113,0.3575,NaN,NaN,0.844298185772054,0.723931251752126,peak,2978.44136117775,0.1415,0.134,NaN,NaN,NaN,Inf
H251N,10,k_7_1,2.15443469003188,1.32992607085261,0,7887.30610543113,0.3575,NaN,NaN,0.844298185772054,0.723931251752126,p95,3020.23635481647,0.1415,0.134,NaN,NaN,NaN,Inf
H251N,10,k_7_1,2.15443469003188,1.32992607085261,0,7887.30610543113,0.3575,NaN,NaN,0.844298185772054,0.723931251752126,least_squares,3298.34774364503,0.1415,0.134,NaN,NaN,NaN,Inf
H251N,10,k_7_1,4.64158883361278,2.86523886222267,0,7155.32975708956,0.484999999999996,NaN,NaN,0.844629376879056,0.742100331157623,peak,2978.44136117775,0.1415,0.134,NaN,NaN,NaN,Inf
H251N,10,k_7_1,4.64158883361278,2.86523886222267,0,7155.32975708956,0.484999999999996,NaN,NaN,0.844629376879056,0.742100331157623,p95,3020.23635481647,0.1415,0.134,NaN,NaN,NaN,Inf
H251N,10,k_7_1,4.64158883361278,2.86523886222267,0,7155.32975708956,0.484999999999996,NaN,NaN,0.844629376879056,0.742100331157623,least_squares,3298.34774364503,0.1415,0.134,NaN,NaN,NaN,Inf
H251N,10,k_7_1,10,6.17297,0,7230.45313480818,0.622999999999989,NaN,NaN,0.842391690785685,0.74378265940626,peak,2978.44136117775,0.1415,0.134,NaN,NaN,NaN,Inf
H251N,10,k_7_1,10,6.17297,0,7230.45313480818,0.622999999999989,NaN,NaN,0.842391690785685,0.74378265940626,p95,3020.23635481647,0.1415,0.134,NaN,NaN,NaN,Inf
H251N,10,k_7_1,10,6.17297,0,7230.45313480818,0.622999999999989,NaN,NaN,0.842391690785685,0.74378265940626,least_squares,3298.34774364503,0.1415,0.134,NaN,NaN,NaN,Inf
H251N,10,k_7_2,0.1,0.189224,1,3264.22273743076,0.2825,0.213,0.396,0.882044992278689,0.802879514490409,peak,2978.44136117775,0.1415,0.134,0.0959499757081026,0.996466431095406,0.58955223880597,1.34972358841953
H251N,10,k_7_2,0.1,0.189224,1,3264.22273743076,0.2825,0.213,0.396,0.882044992278689,0.802879514490409,p95,3020.23635481647,0.1415,0.134,0.0807838705156966,0.996466431095406,0.58955223880597,1.34704322431664
H251N,10,k_7_2,0.1,0.189224,1,3264.22273743076,0.2825,0.213,0.396,0.882044992278689,0.802879514490409,least_squares,3298.34774364503,0.1415,0.134,-0.010346091093644,0.996466431095406,0.58955223880597,1.34062423218206
H251N,10,k_7_2,0.215443469003188,0.407670749786593,1,3592.94975176273,0.282,0.211,0.394,0.880601742298777,0.795437622652501,peak,2978.44136117775,0.1415,0.134,0.206318780888133,0.992932862190812,0.574626865671642,1.35867914291722
H251N,10,k_7_2,0.215443469003188,0.407670749786593,1,3592.94975176273,0.282,0.211,0.394,0.880601742298777,0.795437622652501,p95,3020.23635481647,0.1415,0.134,0.189625356980072,0.992932862190812,0.574626865671642,1.35206947957987
H251N,10,k_7_2,0.215443469003188,0.407670749786593,1,3592.94975176273,0.282,0.211,0.394,0.880601742298777,0.795437622652501,least_squares,3298.34774364503,0.1415,0.134,0.0893180558918683,0.992932862190812,0.574626865671642,1.32408941867836
H251N,10,k_7_2,0.464158883361278,0.878300005451545,1,5682.39605092736,0.2855,0.191,0.376,0.870117269321994,0.755748814979671,peak,2978.44136117775,0.1415,0.134,0.9078421771179,1.01766784452297,0.425373134328358,2.04076756373852
H251N,10,k_7_2,0.464158883361278,0.878300005451545,1,5682.39605092736,0.2855,0.191,0.376,0.870117269321994,0.755748814979671,p95,3020.23635481647,0.1415,0.134,0.881440848781738,1.01766784452297,0.425373134328358,1.99352811508542
H251N,10,k_7_2,0.464158883361278,0.878300005451545,1,5682.39605092736,0.2855,0.191,0.376,0.870117269321994,0.755748814979671,least_squares,3298.34774364503,0.1415,0.134,0.722800775593085,1.01766784452297,0.425373134328358,1.73903110638232
H251N,10,k_7_2,1,1.89224,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881,peak,2978.44136117775,0.1415,0.134,1.79317169851616,1.43816254416961,1.6194029850745,7.90624227187994
H251N,10,k_7_2,1,1.89224,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881,p95,3020.23635481647,0.1415,0.134,1.75451889798776,1.43816254416961,1.6194029850745,7.7691140949168
