genotype,ratio,k_1_fold,k_3_fold,k_5_0_fold,k_1,k_2,k_3,k_5_0,peak,time_to_peak,relax_half_time,srx_rest,srx_peak,scale_mode,target_peak,target_time_to_peak,target_relax_half_time,peak_error,tpeak_error,relax_error,total_score
H251N,10,0.1,10,10,1.69527,16.9527,156.713,11429.8,15640.6779990358,0.716499999999978,NaN,0.459280760406903,0.426076899691457,least_squares,3325.87523837113,0.333,0.136,3.70272541152082,1.15165165165158,NaN,NaN
H251N,10,0.316227766016838,0.1,0.1,5.36091444895365,53.6091444895365,1.56713,114.298,759.17362134835,0.246,0.157,0.910006733082699,0.885696567947458,peak,2994.60909783253,0.333,0.136,-0.746486570852325,-0.261261261261262,0.154411764705882,0.649342640178273
H251N,10,0.316227766016838,0.1,0.1,5.36091444895365,53.6091444895365,1.56713,114.298,759.17362134835,0.246,0.157,0.910006733082699,0.885696567947458,p95,3041.80273612007,0.333,0.136,-0.750419837442614,-0.261261261261262,0.154411764705882,0.655230372142808
H251N,10,0.316227766016838,0.1,0.1,5.36091444895365,53.6091444895365,1.56713,114.298,759.17362134835,0.246,0.157,0.910006733082699,0.885696567947458,least_squares,3325.87523837113,0.333,0.136,-0.771737191885718,-0.261261261261262,0.154411764705882,0.687678733055064
H251N,10,0.316227766016838,0.1,0.316227766016838,5.36091444895365,53.6091444895365,1.56713,361.442012001925,1305.27852916477,0.2115,0.11,0.91042125742813,0.881511171177511,peak,2994.60909783253,0.333,0.136,-0.564123901810916,-0.364864864864865,-0.191176470588235,0.487910589113803
H251N,10,0.316227766016838,0.1,0.316227766016838,5.36091444895365,53.6091444895365,1.56713,361.442012001925,1305.27852916477,0.2115,0.11,0.91042125742813,0.881511171177511,p95,3041.80273612007,0.333,0.136,-0.570886529338288,-0.364864864864865,-0.191176470588235,0.495586241899347
H251N,10,0.316227766016838,0.1,0.316227766016838,5.36091444895365,53.6091444895365,1.56713,361.442012001925,1305.27852916477,0.2115,0.11,0.91042125742813,0.881511171177511,least_squares,3325.87523837113,0.333,0.136,-0.607538336343595,-0.364864864864865,-0.191176470588235,0.538777642646574
H251N,10,0.316227766016838,0.1,1,5.36091444895365,53.6091444895365,1.56713,1142.98,1712.9147970509,0.185,0.0860000000000001,0.911107496521156,0.879599032709168,peak,2994.60909783253,0.333,0.136,-0.428000536600691,-0.444444444444445,-0.367647058823529,0.515879683389603
H251N,10,0.316227766016838,0.1,1,5.36091444895365,53.6091444895365,1.56713,1142.98,1712.9147970509,0.185,0.0860000000000001,0.911107496521156,0.879599032709168,p95,3041.80273612007,0.333,0.136,-0.4368751212198,-0.444444444444445,-0.367647058823529,0.523555095599938
H251N,10,0.316227766016838,0.1,1,5.36091444895365,53.6091444895365,1.56713,1142.98,1712.9147970509,0.185,0.0860000000000001,0.911107496521156,0.879599032709168,least_squares,3325.87523837113,0.333,0.136,-0.484973225306609,-0.444444444444445,-0.367647058823529,0.567894253323418
H251N,10,0.316227766016838,0.1,3.16227766016838,5.36091444895365,53.6091444895365,1.56713,3614.42012001925,1893.99716475091,0.1635,0.0800000000000001,0.911731298779238,0.879808840113352,peak,2994.60909783253,0.333,0.136,-0.367531085736109,-0.509009009009009,-0.411764705882353,0.563719443245078
H251N,10,0.316227766016838,0.1,3.16227766016838,5.36091444895365,53.6091444895365,1.56713,3614.42012001925,1893.99716475091,0.1635,0.0800000000000001,0.911731298779238,0.879808840113352,p95,3041.80273612007,0.333,0.136,-0.377343855253819,-0.509009009009009,-0.411764705882353,0.571028729360529
H251N,10,0.316227766016838,0.1,3.16227766016838,5.36091444895365,53.6091444895365,1.56713,3614.42012001925,1893.99716475091,0.1635,0.0800000000000001,0.911731298779238,0.879808840113352,least_squares,3325.87523837113,0.333,0.136,-0.430526694778092,-0.509009009009009,-0.411764705882353,0.613993579179263
H251N,10,0.316227766016838,0.1,10,5.36091444895365,53.6091444895365,1.56713,11429.8,1896.89807001161,0.1455,0.0860000000000001,0.912151852391053,0.881311030566256,peak,2994.60909783253,0.333,0.136,-0.366562376577108,-0.563063063063063,-0.367647058823529,0.586572348769408
H251N,10,0.316227766016838,0.1,10,5.36091444895365,53.6091444895365,1.56713,11429.8,1896.89807001161,0.1455,0.0860000000000001,0.912151852391053,0.881311030566256,p95,3041.80273612007,0.333,0.136,-0.376390175639341,-0.563063063063063,-0.367647058823529,0.593873937165365
H251N,10,0.316227766016838,0.1,10,5.36091444895365,53.6091444895365,1.56713,11429.8,1896.89807001161,0.1455,0.0860000000000001,0.912151852391053,0.881311030566256,least_squares,3325.87523837113,0.333,0.136,-0.429654471663036,-0.563063063063063,-0.367647058823529,0.636807337867593
H251N,10,0.316227766016838,0.316227766016838,0.1,5.36091444895365,53.6091444895365,4.95570018957967,114.298,1288.34926957664,0.317,0.30299999999999,0.895969340802002,0.853834737886876,peak,2994.60909783253,0.333,0.136,-0.569777147037609,-0.0480480480480484,1.22794117647051,1.83479414507933
H251N,10,0.316227766016838,0.316227766016838,0.1,5.36091444895365,53.6091444895365,4.95570018957967,114.298,1288.34926957664,0.317,0.30299999999999,0.895969340802002,0.853834737886876,p95,3041.80273612007,0.333,0.136,-0.576452064337355,-0.0480480480480484,1.22794117647051,1.84244513027181
H251N,10,0.316227766016838,0.316227766016838,0.1,5.36091444895365,53.6091444895365,4.95570018957967,114.298,1288.34926957664,0.317,0.30299999999999,0.895969340802002,0.853834737886876,least_squares,3325.87523837113,0.333,0.136,-0.612628503104157,-0.0480480480480484,1.22794117647051,1.88546183060865
H251N,10,0.316227766016838,0.316227766016838,0.316227766016838,5.36091444895365,53.6091444895365,4.95570018957967,361.442012001925,2688.82893975225,0.2575,0.137,0.897203378857279,0.835720796477101,peak,2994.60909783253,0.333,0.136,-0.102110208074101,-0.226726726726727,0.00735294117647059,0.0618855689490969
H251N,10,0.316227766016838,0.316227766016838,0.316227766016838,5.36091444895365,53.6091444895365,4.95570018957967,361.442012001925,2688.82893975225,0.2575,0.137,0.897203378857279,0.835720796477101,p95,3041.80273612007,0.333,0.136,-0.116040988515267,-0.226726726726727,0.00735294117647059,0.064924585371761
H251N,10,0.316227766016838,0.316227766016838,0.316227766016838,5.36091444895365,53.6091444895365,4.95570018957967,361.442012001925,2688.82893975225,0.2575,0.137,0.897203378857279,0.835720796477101,least_squares,3325.87523837113,0.333,0.136,-0.191542452124835,-0.226726726726727,0.00735294117647059,0.0881475853221554
H251N,10,0.316227766016838,0.316227766016838,1,5.36091444895365,53.6091444895365,4.95570018957967,1142.98,4206.06101734838,0.226,0.0760000000000001,0.899821945322089,0.82251085597153,peak,2994.60909783253,0.333,0.136,0.4045442593468,-0.321321321321322,-0.441176470588235,0.461540127506823
H251N,10,0.316227766016838,0.316227766016838,1,5.36091444895365,53.6091444895365,4.95570018957967,1142.98,4206.06101734838,0.226,0.0760000000000001,0.899821945322089,0.82251085597153,p95,3041.80273612007,0.333,0.136,0.382752723377901,-0.321321321321322,-0.441176470588235,0.444383716989572
H251N,10,0.316227766016838,0.316227766016838,1,5.36091444895365,53.6091444895365,4.95570018957967,1142.98,4206.06101734838,0.226,0.0760000000000001,0.899821945322089,0.82251085597153,least_squares,3325.87523837113,0.333,0.136,0.264647864364367,-0.321321321321322,-0.441176470588235,0.367922561848992
