id,group_id,alignment_policy,genotype,stage,restart,target_peak,target_force_rise_time,target_calcium_to_force_lag,target_time_to_peak_argmax,target_time_to_peak_centroid,target_relax_half_time,target_fwhm,target_normalized_rmse,model_peak,model_relative_peak_error_signed,model_force_rise_time,model_calcium_to_force_lag,model_time_to_peak_argmax,model_time_to_peak_centroid,model_relax_half_time,model_fwhm,model_normalized_rmse
independent_trace__Control__plus_k40__s02,independent_trace__Control,independent_trace,Control,plus_k40,2,1514.39715338375,0.495,0.015,0.352,0.35,0.372999999999977,0.607999999999978,0,1265.05609468957,-0.164647073019819,0.48,0,0.34,0.344,0.424999999999973,0.650999999999973,0.110259662916875
independent_trace__Control__plus_k40__s03,independent_trace__Control,independent_trace,Control,plus_k40,3,1514.39715338375,0.495,0.015,0.352,0.35,0.372999999999977,0.607999999999978,0,1223.68126400244,-0.191968063814527,0.48,0,0.307,0.3245,0.474999999999971,0.674999999999971,0.10106867992546
independent_trace__Control__plus_k40__s04,independent_trace__Control,independent_trace,Control,plus_k40,4,1514.39715338375,0.495,0.015,0.352,0.35,0.372999999999977,0.607999999999978,0,1266.40005772078,-0.163759615572998,0.48,0,0.348,0.3525,0.412999999999973,0.642999999999974,0.108520650939657
independent_trace__Control__plus_k73__s01,independent_trace__Control,independent_trace,Control,plus_k73,1,1514.39715338375,0.495,0.015,0.352,0.35,0.372999999999977,0.607999999999978,0,1223.4152397498,-0.192143727280383,0.48,0,0.307,0.3245,0.474999999999971,0.675999999999971,0.100952195862827
independent_trace__Control__plus_k73__s02,independent_trace__Control,independent_trace,Control,plus_k73,2,1514.39715338375,0.495,0.015,0.352,0.35,0.372999999999977,0.607999999999978,0,1264.7211873706,-0.164868221955699,0.48,0,0.345,0.3515,0.414999999999974,0.638999999999974,0.108026243950288
independent_trace__Control__plus_k73__s03,independent_trace__Control,independent_trace,Control,plus_k73,3,1514.39715338375,0.495,0.015,0.352,0.35,0.372999999999977,0.607999999999978,0,1227.0960656651,-0.189713172054445,0.48,0,0.31,0.3265,0.467999999999972,0.668999999999972,0.101201893110471
independent_trace__Control__plus_k73__s04,independent_trace__Control,independent_trace,Control,plus_k73,4,1514.39715338375,0.495,0.015,0.352,0.35,0.372999999999977,0.607999999999978,0,1260.58653721998,-0.167598450377866,0.48,0,0.331,0.337,0.435999999999973,0.659999999999973,0.105952209271258
independent_trace__Control__plus_k73__s05,independent_trace__Control,independent_trace,Control,plus_k73,5,1514.39715338375,0.495,0.015,0.352,0.35,0.372999999999977,0.607999999999978,0,1270.03512996219,-0.161359272813979,0.48,0,0.347,0.353,0.408999999999974,0.632999999999974,0.108841149427406
independent_trace__Control__plus_k73__s06,independent_trace__Control,independent_trace,Control,plus_k73,6,1514.39715338375,0.495,0.015,0.352,0.35,0.372999999999977,0.607999999999978,0,1277.02273703522,-0.156745154874426,0.48,0,0.382,0.3855,0.366999999999975,0.606999999999975,0.11635072344331
independent_trace__Control__plus_k73__s07,independent_trace__Control,independent_trace,Control,plus_k73,7,1514.39715338375,0.495,0.015,0.352,0.35,0.372999999999977,0.607999999999978,0,1256.4251101057,-0.170346360399347,0.48,0,0.338,0.345,0.430999999999973,0.653999999999973,0.108245439118791
independent_trace__Control__plus_k73__s08,independent_trace__Control,independent_trace,Control,plus_k73,8,1514.39715338375,0.495,0.015,0.352,0.35,0.372999999999977,0.607999999999978,0,1253.79850213032,-0.172080785196376,0.48,0,0.338,0.346,0.429999999999973,0.650999999999973,0.106591131451375
