id,group_id,alignment_policy,genotype,stage,restart,name,p_raw,p_simulated,normalized_distance,physical_distance,log_distance,fold_distance,lower_bound,upper_bound,physical_value,classification
shared_by_genotype__Control__plus_k73__s07,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,7,k_2,0.6518919371,0.6518919371,0.3481080629,107.222625652672,0.696216125695567,4.96839511030574,5.6057599996597,560.575999578738,112.828385652332,interior
shared_by_genotype__Control__plus_k73__s07,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,7,k_3,0.7042091571,0.7042091571,0.2957908429,61.8750188674957,0.591581685829579,3.90464617534212,2.51416999986428,251.417000044319,64.38918886736,interior
shared_by_genotype__Control__plus_k73__s07,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,7,k_5_0,0.2287536943,0.2287536943,0.2287536943,44.9188597246634,0.4575073886,2.86752616004542,24.0526000040455,2405.26000040455,68.9714597287088,interior
shared_by_genotype__Control__plus_k73__s07,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,7,k_4_0,0.0982676656,0.0982676656,0.0982676656,2.97070472159921,0.19653533117052,1.57229969859923,5.19082000020333,519.081999661764,8.16152472180254,interior
shared_by_genotype__Control__plus_k73__s07,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,7,k_7_3,9.220354298e-06,9.220354298e-06,9.220354298e-06,3.44234279426869e-05,1.84407085990254e-05,1.00004246220222,0.810683999993441,81.0684000590775,0.810718423421383,near_lower
shared_by_genotype__Control__plus_k73__s08,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,8,k_1,0.5040082427,0.5040082427,0.4959917573,5.14961960660612,0.991983514451202,9.81710677185119,0.56057599996597,56.0575999578738,5.71019560657209,interior
shared_by_genotype__Control__plus_k73__s08,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,8,k_2,0.9900636555,0.9900636555,0.00993634450000003,25.0731194061466,0.0198726889970194,1.04682163314988,5.6057599996597,560.575999578738,535.502880172591,near_upper
shared_by_genotype__Control__plus_k73__s08,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,8,k_3,0.4037837875,0.4037837875,0.4037837875,13.6280110840381,0.807567575040378,6.42048114676961,2.51416999986428,251.417000044319,16.1421810839024,interior
shared_by_genotype__Control__plus_k73__s08,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,8,k_5_0,3.742618907e-07,3.742618907e-07,3.742618907e-07,4.14556467376315e-05,7.48523781354556e-07,1.00000172354119,24.0526000040455,2405.26000040455,24.0526414596922,near_lower
shared_by_genotype__Control__plus_k73__s08,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,8,k_4_0,0.7626522622,0.7626522622,0.2373477378,168.805672421662,0.474695475528796,2.98329002175065,5.19082000020333,519.081999661764,173.996492421866,interior
shared_by_genotype__Control__plus_k73__s08,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,8,k_7_3,0.9999600935,0.9999600935,3.99064999999643e-05,0.014897075547097,7.98130000128492e-05,1.00018379311194,0.810683999993441,81.0684000590775,81.0535029835304,near_upper
shared_by_genotype__H251N__k123__s01,shared_by_genotype__H251N,shared_by_genotype,H251N,k123,1,k_1,3.58585521e-05,3.58585521e-05,3.58585521e-05,0.000279971078169794,7.17171042107822e-05,1.00016514837056,1.6952700000711,169.527000124215,1.69554997114926,near_lower
shared_by_genotype__H251N__k123__s01,shared_by_genotype__H251N,shared_by_genotype,H251N,k123,1,k_2,0.6956121362,0.6956121362,0.3043878638,400.361487156457,0.6087757276,4.06233493460433,16.9527000124215,1695.27000124215,417.314187168879,interior
shared_by_genotype__H251N__k123__s01,shared_by_genotype__H251N,shared_by_genotype,H251N,k123,1,k_3,0.8138880381,0.8138880381,0.1861119619,64.9419746094078,0.372223923893056,2.35626386939419,1.56712999996399,156.713000176822,66.5091046093718,interior
shared_by_genotype__H251N__k123__s02,shared_by_genotype__H251N,shared_by_genotype,H251N,k123,2,k_1,-7.029325225e-06,0,0,0,0,1,1.6952700000711,169.527000124215,1.6952700000711,outside_lower
shared_by_genotype__H251N__k123__s02,shared_by_genotype__H251N,shared_by_genotype,H251N,k123,2,k_2,0.4095031991,0.4095031991,0.4095031991,94.7967193335535,0.8190063982,6.59183606529312,16.9527000124215,1695.27000124215,111.749419345975,interior
shared_by_genotype__H251N__k123__s02,shared_by_genotype__H251N,shared_by_genotype,H251N,k123,2,k_3,0.5420033334,0.5420033334,0.4579966666,17.4485426087159,0.915993333428998,8.2412546430405,1.56712999996399,156.713000176822,19.0156726086799,interior
shared_by_genotype__H251N__k123__s03,shared_by_genotype__H251N,shared_by_genotype,H251N,k123,3,k_1,5.360689993e-06,5.360689993e-06,5.360689993e-06,4.18514601532305e-05,1.07213799876175e-05,1.00002468719446,1.6952700000711,169.527000124215,1.69531185153125,near_lower
shared_by_genotype__H251N__k123__s03,shared_by_genotype__H251N,shared_by_genotype,H251N,k123,3,k_2,0.2475654114,0.2475654114,0.2475654114,36.0587519815999,0.4951308228,3.12702117982264,16.9527000124215,1695.27000124215,53.0114519940214,interior
shared_by_genotype__H251N__k123__s03,shared_by_genotype__H251N,shared_by_genotype,H251N,k123,3,k_3,0.3968933815,0.3968933815,0.3968933815,8.18033731734773,0.793786763198447,6.2199481329154,1.56712999996399,156.713000176822,9.74746731731172,interior
