genotype,ratio,k_1_fold,k_3_fold,k_5_0_fold,k_1,k_2,k_3,k_5_0,peak,time_to_peak,relax_half_time,srx_rest,srx_peak
Control,20,0.1,0.316227766016838,10,0.560576,11.21152,7.95050362486553,2405.26,2588.42310888619,0.1715,0.0760000000000001,0.955080951861659,0.932247012862785
Control,20,0.1,1,0.1,0.560576,11.21152,25.1417,24.0526,311.883695901042,0.247,0.128,0.950400309911745,0.919729336601667
Control,20,0.1,1,0.316227766016838,0.560576,11.21152,25.1417,76.060999648966,890.30452956214,0.238,0.121,0.949464816080628,0.915747762872466
Control,20,0.1,1,1,0.560576,11.21152,25.1417,240.526,2121.09852758098,0.226,0.112,0.947957586671121,0.908572934563638
Control,20,0.1,1,3.16227766016838,0.560576,11.21152,25.1417,760.60999648966,3781.78438842709,0.2185,0.101,0.946296255513676,0.899930836275308
Control,20,0.1,1,10,0.560576,11.21152,25.1417,2405.26,5292.12467184272,0.215,0.0920000000000001,0.944931344425922,0.892497948850889
Control,20,0.1,3.16227766016838,0.1,0.560576,11.21152,79.5050362486553,24.0526,439.005762097984,0.444,NaN,0.923108808744946,0.885260709977721
Control,20,0.1,3.16227766016838,0.316227766016838,0.560576,11.21152,79.5050362486553,76.060999648966,1269.78804969466,0.435,NaN,0.918710598137548,0.872023038998167
Control,20,0.1,3.16227766016838,1,0.560576,11.21152,79.5050362486553,240.526,3153.82083834151,0.4305,NaN,0.910685867972638,0.848872828307792
Control,20,0.1,3.16227766016838,3.16227766016838,0.560576,11.21152,79.5050362486553,760.60999648966,5892.8256119316,0.455999999999998,NaN,0.901435102362424,0.82371799387489
Control,20,0.1,3.16227766016838,10,0.560576,11.21152,79.5050362486553,2405.26,8398.27637118304,0.451499999999999,NaN,0.894257666946183,0.805464148938233
Control,20,0.1,10,0.1,0.560576,11.21152,251.417,24.0526,1164.97535521217,0.776999999999972,NaN,0.845838302104309,0.730432516147158
Control,20,0.1,10,0.316227766016838,0.560576,11.21152,251.417,76.060999648966,3389.83996000548,0.776999999999972,NaN,0.837048871227313,0.698335830938849
Control,20,0.1,10,1,0.560576,11.21152,251.417,240.526,8337.86219880612,0.775499999999972,NaN,0.817139668191317,0.650818905588041
Control,20,0.1,10,3.16227766016838,0.560576,11.21152,251.417,760.60999648966,14722.8774244837,0.771999999999972,NaN,0.791815857636439,0.619174726461289
Control,20,0.1,10,10,0.560576,11.21152,251.417,2405.26,19403.1954095604,0.767499999999973,NaN,0.772107480061474,0.611177541482318
Control,20,0.316227766016838,0.1,0.1,1.77269696162655,35.453939232531,2.51417,24.0526,90.4451265072196,0.161,0.0860000000000001,0.958433391780123,0.951677057767816
