genotype,ratio,parameter,fold,value,valid,peak,time_to_peak,relax_half_time,fwhm,srx_rest,srx_peak,scale_mode,target_peak,target_time_to_peak,target_relax_half_time,peak_error,tpeak_error,relax_error,total_score
H251N,10,k_5_0,10,11429.8,1,13671.5836304728,0.246,0.039,0.214,0.865203420474849,0.675150017595931,peak,2994.60909783253,0.333,0.136,3.56539841556221,-0.261261261261262,-0.713235294117647,13.2890278931044
H251N,10,k_5_0,10,11429.8,1,13671.5836304728,0.246,0.039,0.214,0.865203420474849,0.675150017595931,p95,3041.80273612007,0.333,0.136,3.49456615582884,-0.261261261261262,-0.713235294117647,12.7889546488752
H251N,10,k_5_0,10,11429.8,1,13671.5836304728,0.246,0.039,0.214,0.865203420474849,0.675150017595931,least_squares,3325.87523837113,0.333,0.136,3.1106724247325,-0.261261261261262,-0.713235294117647,10.2532449654021
H251N,10,k_4_0,0.1,1.00338,0,9777.47416009923,0.777499999999972,NaN,NaN,0.825908966140348,0.685929700903471,peak,2994.60909783253,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_4_0,0.1,1.00338,0,9777.47416009923,0.777499999999972,NaN,NaN,0.825908966140348,0.685929700903471,p95,3041.80273612007,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_4_0,0.1,1.00338,0,9777.47416009923,0.777499999999972,NaN,NaN,0.825908966140348,0.685929700903471,least_squares,3325.87523837113,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_4_0,0.215443469003188,2.16171667928419,0,9452.94144643316,0.743999999999976,NaN,NaN,0.828275457471696,0.692812663545225,peak,2994.60909783253,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_4_0,0.215443469003188,2.16171667928419,0,9452.94144643316,0.743999999999976,NaN,NaN,0.828275457471696,0.692812663545225,p95,3041.80273612007,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_4_0,0.215443469003188,2.16171667928419,0,9452.94144643316,0.743999999999976,NaN,NaN,0.828275457471696,0.692812663545225,least_squares,3325.87523837113,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_4_0,0.464158883361278,4.65727740387039,0,8703.88228223511,0.590499999999987,NaN,NaN,0.83323487802077,0.708409893683489,peak,2994.60909783253,0.333,0.136,NaN,NaN,NaN,Inf
